2021-08-27 07:17:00 install util-linux:amd64 <none> 2.34-0.1ubuntu9
2021-08-27 07:17:00 status half-installed util-linux:amd64 2.34-0.1ubuntu9
2021-08-27 07:17:00 status unpacked util-linux:amd64 2.34-0.1ubuntu9
2021-08-27 07:17:00 install zlib1g:amd64 <none> 1:1.2.11.dfsg-2ubuntu1
2021-08-27 07:17:00 status half-installed zlib1g:amd64 1:1.2.11.dfsg-2ubuntu1
2021-08-27 07:17:00 status unpacked zlib1g:amd64 1:1.2.11.dfsg-2ubuntu1
2021-08-27 07:17:00 startup packages configure
2021-08-27 07:17:00 configure lsb-base:all 11.1.0ubuntu2 <none>
2021-08-27 07:17:00 status unpacked lsb-base:all 11.1.0ubuntu2
2021-08-27 07:17:00 status half-configured lsb-base:all 11.1.0ubuntu2
2021-08-27 07:17:00 status installed lsb-base:all 11.1.0ubuntu2
2021-08-27 07:17:00 configure libaudit-common:all 1:2.8.5-2ubuntu6 <none>
2021-08-27 07:17:00 status unpacked libaudit-common:all 1:2.8.5-2ubuntu6
2021-08-27 07:17:00 status half-configured libaudit-common:all 1:2.8.5-2ubuntu6
2021-08-27 07:17:00 status installed libaudit-common:all 1:2.8.5-2ubuntu6
2021-08-27 07:17:00 configure libsemanage-common:all 3.0-1build2 <none>
2021-08-27 07:17:00 status unpacked libsemanage-common:all 3.0-1build2
2021-08-27 07:17:00 status half-configured libsemanage-common:all 3.0-1build2
2021-08-27 07:17:00 status installed libsemanage-common:all 3.0-1build2
2021-08-27 07:17:00 configure gcc-10-base:amd64 10-20200411-0ubuntu1 <none>
2021-08-27 07:17:00 status unpacked gcc-10-base:amd64 10-20200411-0ubuntu1
2021-08-27 07:17:00 status half-configured gcc-10-base:amd64 10-20200411-0ubuntu1
2021-08-27 07:17:00 status installed gcc-10-base:amd64 10-20200411-0ubuntu1
2021-08-27 07:17:00 configure ncurses-base:all 6.2-0ubuntu2 <none>
2021-08-27 07:17:00 status unpacked ncurses-base:all 6.2-0ubuntu2
2021-08-27 07:17:00 status half-configured ncurses-base:all 6.2-0ubuntu2
2021-08-27 07:17:00 status installed ncurses-base:all 6.2-0ubuntu2
2021-08-27 07:17:00 configure sensible-utils:all 0.0.12+nmu1 <none>
2021-08-27 07:17:00 status unpacked sensible-utils:all 0.0.12+nmu1
2021-08-27 07:17:00 status half-configured sensible-utils:all 0.0.12+nmu1
2021-08-27 07:17:00 status installed sensible-utils:all 0.0.12+nmu1
2021-08-27 07:17:00 configure libcrypt1:amd64 1:4.4.10-10ubuntu4 <none>
2021-08-27 07:17:00 status unpacked libcrypt1:amd64 1:4.4.10-10ubuntu4
2021-08-27 07:17:00 status half-configured libcrypt1:amd64 1:4.4.10-10ubuntu4
2021-08-27 07:17:00 status installed libcrypt1:amd64 1:4.4.10-10ubuntu4
2021-08-27 07:17:00 configure libgcc-s1:amd64 10-20200411-0ubuntu1 <none>
2021-08-27 07:17:00 status unpacked libgcc-s1:amd64 10-20200411-0ubuntu1
2021-08-27 07:17:00 status half-configured libgcc-s1:amd64 10-20200411-0ubuntu1
2021-08-27 07:17:00 status installed libgcc-s1:amd64 10-20200411-0ubuntu1
2021-08-27 07:17:00 configure libc6:amd64 2.31-0ubuntu9 <none>
2021-08-27 07:17:00 status unpacked libc6:amd64 2.31-0ubuntu9
2021-08-27 07:17:00 status half-configured libc6:amd64 2.31-0ubuntu9
2021-08-27 07:17:00 status installed libc6:amd64 2.31-0ubuntu9
2021-08-27 07:17:00 configure libudev1:amd64 245.4-4ubuntu3 <none>
2021-08-27 07:17:00 status unpacked libudev1:amd64 245.4-4ubuntu3
2021-08-27 07:17:00 status half-configured libudev1:amd64 245.4-4ubuntu3
2021-08-27 07:17:00 status installed libudev1:amd64 245.4-4ubuntu3
2021-08-27 07:17:00 configure libsepol1:amd64 3.0-1 <none>
2021-08-27 07:17:00 status unpacked libsepol1:amd64 3.0-1
2021-08-27 07:17:00 status half-configured libsepol1:amd64 3.0-1
2021-08-27 07:17:00 status installed libsepol1:amd64 3.0-1
2021-08-27 07:17:00 configure libattr1:amd64 1:2.4.48-5 <none>
2021-08-27 07:17:00 status unpacked libattr1:amd64 1:2.4.48-5
2021-08-27 07:17:00 status half-configured libattr1:amd64 1:2.4.48-5
2021-08-27 07:17:00 status installed libattr1:amd64 1:2.4.48-5
2021-08-27 07:17:00 configure debianutils:amd64 4.9.1 <none>
2021-08-27 07:17:00 status unpacked debianutils:amd64 4.9.1
2021-08-27 07:17:00 status half-configured debianutils:amd64 4.9.1
2021-08-27 07:17:00 status installed debianutils:amd64 4.9.1
2021-08-27 07:17:00 configure mawk:amd64 1.3.4.20200120-2 <none>
2021-08-27 07:17:00 status unpacked mawk:amd64 1.3.4.20200120-2
2021-08-27 07:17:00 status half-configured mawk:amd64 1.3.4.20200120-2
2021-08-27 07:17:00 status installed mawk:amd64 1.3.4.20200120-2
2021-08-27 07:17:00 configure libdebconfclient0:amd64 0.251ubuntu1 <none>
2021-08-27 07:17:00 status unpacked libdebconfclient0:amd64 0.251ubuntu1
2021-08-27 07:17:00 status half-configured libdebconfclient0:amd64 0.251ubuntu1
2021-08-27 07:17:00 status installed libdebconfclient0:amd64 0.251ubuntu1
2021-08-27 07:17:00 configure base-files:amd64 11ubuntu5 <none>
2021-08-27 07:17:00 status unpacked base-files:amd64 11ubuntu5
2021-08-27 07:17:00 status half-configured base-files:amd64 11ubuntu5
2021-08-27 07:17:01 status installed base-files:amd64 11ubuntu5
2021-08-27 07:17:01 configure libbz2-1.0:amd64 1.0.8-2 <none>
2021-08-27 07:17:01 status unpacked libbz2-1.0:amd64 1.0.8-2
2021-08-27 07:17:01 status half-configured libbz2-1.0:amd64 1.0.8-2
2021-08-27 07:17:01 status installed libbz2-1.0:amd64 1.0.8-2
2021-08-27 07:17:01 configure base-passwd:amd64 3.5.47 <none>
2021-08-27 07:17:01 status unpacked base-passwd:amd64 3.5.47
2021-08-27 07:17:01 status half-configured base-passwd:amd64 3.5.47
2021-08-27 07:17:01 status installed base-passwd:amd64 3.5.47
2021-08-27 07:17:01 configure libdb5.3:amd64 5.3.28+dfsg1-0.6ubuntu2 <none>
2021-08-27 07:17:01 status unpacked libdb5.3:amd64 5.3.28+dfsg1-0.6ubuntu2
2021-08-27 07:17:01 status half-configured libdb5.3:amd64 5.3.28+dfsg1-0.6ubuntu2
2021-08-27 07:17:01 status installed libdb5.3:amd64 5.3.28+dfsg1-0.6ubuntu2
2021-08-27 07:17:01 configure libblkid1:amd64 2.34-0.1ubuntu9 <none>
